              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     7.13283245232208E-01     2.70695603081222E-01     3.21395152408426E-12     3.36149276652948E-21     2.61938698798564E-12     3.52975856103146E-12     2.10335143305027E-16     8.82175386403020E-05     1.52323451996390E-04     1.36736984757240E+16     5.00000000000000E+02
     7.13248620767118E-01     2.70704257619342E-01     3.21424058664896E-12     3.36195830509717E-21     2.61962257546415E-12     3.52967761830715E-12     2.10354060831911E-16     8.82112338827544E-05     1.52329756753494E-04     1.39100576507955E+16     5.10000000000000E+02
     7.13213995875428E-01     2.70712912492087E-01     3.21451041340960E-12     3.36240376717827E-21     2.61984248566288E-12     3.52963320444142E-12     2.10371719483127E-16     8.82058419964064E-05     1.52335148639397E-04     1.41464142880908E+16     5.20000000000000E+02
     7.13179370628080E-01     2.70721567643929E-01     3.21476419300908E-12     3.36283247994586E-21     2.62004931734229E-12     3.52961927171898E-12     2.10388327937499E-16     8.82012114997221E-05     1.52339779135635E-04     1.43827688131333E+16     5.30000000000000E+02
     7.13144745077249E-01     2.70730223034705E-01     3.21500423581145E-12     3.36324685824614E-21     2.62024495346103E-12     3.52963143819382E-12     2.10404037395418E-16     8.81972328238873E-05     1.52343757811022E-04     1.46191215571838E+16     5.40000000000000E+02
     7.13110119262494E-01     2.70738878633764E-01     3.21523231509374E-12     3.36364876610681E-21     2.62043083924902E-12     3.52966634058522E-12     2.10418963907935E-16     8.81938223543946E-05     1.52347168280065E-04     1.48554727651613E+16     5.50000000000000E+02
     7.13075493224825E-01     2.70747534410618E-01     3.21545018722655E-12     3.36404004202310E-21     2.62060840615741E-12     3.52972064765866E-12     2.10433222419673E-16     8.81908969192731E-05     1.52350093714737E-04     1.50918227270913E+16     5.60000000000000E+02
     7.13040866993108E-01     2.70756190341395E-01     3.21565921604264E-12     3.36442210195175E-21     2.62077876571696E-12     3.52979177274199E-12     2.10446902185849E-16     8.81883913904140E-05     1.52352599243146E-04     1.53281715824154E+16     5.70000000000000E+02
     7.13006240595543E-01     2.70764846404093E-01     3.21586066949967E-12     3.36479627381096E-21     2.62094295131970E-12     3.52987731097476E-12     2.10460086187191E-16     8.81862457476943E-05     1.52354744885414E-04     1.55645195027047E+16     5.80000000000000E+02
     7.12971614054789E-01     2.70773502580562E-01     3.21605559202976E-12     3.36516364953487E-21     2.62110181418321E-12     3.52997528145316E-12     2.10472842775932E-16     8.81844104776336E-05     1.52356580155023E-04     1.58008666120411E+16     5.90000000000000E+02
     7.12936987390522E-01     2.70782158854733E-01     3.21624490893763E-12     3.36552519692271E-21     2.62125610843563E-12     3.53008392921876E-12     2.10485232508088E-16     8.81828417454910E-05     1.52358148886713E-04     1.60372130088268E+16     6.00000000000000E+02
     7.12902360621367E-01     2.70790815210629E-01     3.21642953799820E-12     3.36588187364720E-21     2.62140658206825E-12     3.53020151360937E-12     2.10497315446889E-16     8.81814959591284E-05     1.52359494672623E-04     1.62735587658592E+16     6.10000000000000E+02
     7.12867733760322E-01     2.70799471638715E-01     3.21661002812427E-12     3.36623425471263E-21     2.62155368244785E-12     3.53032699352856E-12     2.10509127515600E-16     8.81803471123148E-05     1.52360643518984E-04     1.65099039795934E+16     6.20000000000000E+02
     7.12833106822633E-01     2.70808128126257E-01     3.21678711129515E-12     3.36658310472065E-21     2.62169800614136E-12     3.53045898069126E-12     2.10520716618172E-16     8.81793604643079E-05     1.52361630166537E-04     1.67462487188180E+16     6.30000000000000E+02
     7.12798479818815E-01     2.70816784665036E-01     3.21696126024651E-12     3.36692891751573E-21     2.62183993843079E-12     3.53059657849226E-12     2.10532113692505E-16     8.81785135928930E-05     1.52362477037499E-04     1.69825930468812E+16     6.40000000000000E+02
     7.12763852758374E-01     2.70825441248030E-01     3.21713287893487E-12     3.36727211510690E-21     2.62197980854279E-12     3.53073902076909E-12     2.10543345175294E-16     8.81777873430248E-05     1.52363203286913E-04     1.72189370325077E+16     6.50000000000000E+02
     7.12729225650722E-01     2.70834097868454E-01     3.21730235788951E-12     3.36761310583688E-21     2.62211793476073E-12     3.53088556682312E-12     2.10554436624491E-16     8.81771632015918E-05     1.52363827427892E-04     1.74552807482867E+16     6.60000000000000E+02
     7.12694598501660E-01     2.70842754521353E-01     3.21746998252600E-12     3.36795218878799E-21     2.62225454969980E-12     3.53103567533559E-12     2.10565406718948E-16     8.81766276531264E-05     1.52364362975903E-04     1.76916242174117E+16     6.70000000000000E+02
     7.12659971317737E-01     2.70851411202353E-01     3.21763600506876E-12     3.36828962822347E-21     2.62238985892420E-12     3.53118886792001E-12     2.10576271965342E-16     8.81761687671867E-05     1.52364821861388E-04     1.79279675001553E+16     6.80000000000000E+02
     7.12625344105286E-01     2.70860067905589E-01     3.21780076187507E-12     3.36862577449213E-21     2.62252413656684E-12     3.53134450664846E-12     2.10587054376373E-16     8.81757705417031E-05     1.52365220086417E-04     1.81643106092138E+16     6.90000000000000E+02
     7.12590716868302E-01     2.70868724628109E-01     3.21796442321385E-12     3.36896080610160E-21     2.62265752139778E-12     3.53150226858469E-12     2.10597765095187E-16     8.81754249238290E-05     1.52365565703836E-04     1.84006535734621E+16     7.00000000000000E+02
