              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     7.13456450777393E-01     2.70652316859862E-01     1.07576359958258E-09     2.82954137770734E-16     9.52316087731260E-10     7.62169667992579E-09     2.59556175043926E-13     8.82653574465576E-05     1.52265992517236E-04     1.24912325339496E+16     4.50000000000000E+02
     7.13421831119614E-01     2.70660968357981E-01     1.07591231299705E-09     2.83006979183165E-16     9.52447737187396E-10     7.62088687406837E-09     2.59592055602502E-13     8.82516946339662E-05     1.52279655859235E-04     1.27276027391892E+16     4.60000000000000E+02
     7.13387210533588E-01     2.70669620585596E-01     1.07604699862179E-09     2.83056140907972E-16     9.52566968369039E-10     7.62024865071794E-09     2.59624551657044E-13     8.82400218973694E-05     1.52291328980105E-04     1.29639674554195E+16     4.70000000000000E+02
     7.13352589184123E-01     2.70678273414698E-01     1.07617011778321E-09     2.83102268825225E-16     9.52675960194440E-10     7.61975192114715E-09     2.59654257055593E-13     8.82299900351186E-05     1.52301361106945E-04     1.32003277024911E+16     4.80000000000000E+02
     7.13317967174180E-01     2.70686926763264E-01     1.07628323572563E-09     2.83145770513847E-16     9.52776098324074E-10     7.61937755007333E-09     2.59681549444145E-13     8.82213752887406E-05     1.52309976014411E-04     1.34366840600226E+16     4.90000000000000E+02
     7.13283344593132E-01     2.70695580559416E-01     1.07638772980293E-09     2.83187006143320E-16     9.52868602084565E-10     7.61910869926077E-09     2.59706761136591E-13     8.82139815839232E-05     1.52317369791056E-04     1.36730370131263E+16     5.00000000000000E+02
     7.13248721521459E-01     2.70704234739821E-01     1.07648482203364E-09     2.83226297464626E-16     9.52954553280755E-10     7.61893043019171E-09     2.59730186971677E-13     8.82076361468513E-05     1.52323715223330E-04     1.39093870337923E+16     5.10000000000000E+02
     7.13214098030548E-01     2.70712889251345E-01     1.07657554221754E-09     2.83263916837153E-16     9.53034863541134E-10     7.61883015520014E-09     2.59752075415084E-13     8.82021940309536E-05     1.52329157268450E-04     1.41457346175704E+16     5.20000000000000E+02
     7.13179474174615E-01     2.70721544051958E-01     1.07666069785097E-09     2.83300075969211E-16     9.53110247708635E-10     7.61879800322907E-09     2.59772621293538E-13     8.81975405838654E-05     1.52333810587130E-04     1.43820800955462E+16     5.30000000000000E+02
     7.13144850004556E-01     2.70730199099743E-01     1.07674109523133E-09     2.83334986521460E-16     9.53181419580908E-10     7.61882411645560E-09     2.59792019139540E-13     8.81935614551126E-05     1.52337789538181E-04     1.46184237239600E+16     5.40000000000000E+02
     7.13110225567293E-01     2.70738854358485E-01     1.07681743280993E-09     2.83368832329923E-16     9.53248997471007E-10     7.61889995651811E-09     2.59810437469282E-13     8.81901578515049E-05     1.52341192922015E-04     1.48547657970466E+16     5.50000000000000E+02
     7.13075600897314E-01     2.70747509800509E-01     1.07689024337962E-09     2.83401753353137E-16     9.53313453034313E-10     7.61901901082231E-09     2.59828004832292E-13     8.81872542803698E-05     1.52344096236812E-04     1.50911065013237E+16     5.60000000000000E+02
     7.13040976031484E-01     2.70756165395740E-01     1.07696010620020E-09     2.83433901819483E-16     9.53375299066397E-10     7.61917419830582E-09     2.59844860987785E-13     8.81847686926331E-05     1.52346581537635E-04     1.53274460264872E+16     5.70000000000000E+02
     7.13006350999836E-01     2.70764821120164E-01     1.07702748382880E-09     2.83465399327498E-16     9.53434945051969E-10     7.61935986437811E-09     2.59861117537473E-13     8.81826355845630E-05     1.52348714332999E-04     1.55637845400031E+16     5.80000000000000E+02
     7.12971725824619E-01     2.70773476956928E-01     1.07709270105232E-09     2.83496331312586E-16     9.53492678514372E-10     7.61957203846622E-09     2.59876852842602E-13     8.81808089819982E-05     1.52350540600423E-04     1.58001221901130E+16     5.90000000000000E+02
     7.12937100529101E-01     2.70782132887331E-01     1.07715611804045E-09     2.83526792424486E-16     9.53548818297283E-10     7.61980631774817E-09     2.59892153802105E-13     8.81792378654456E-05     1.52352111363125E-04     1.60364591040491E+16     6.00000000000000E+02
     7.12902475125764E-01     2.70790788900932E-01     1.07721793623914E-09     2.83556835679532E-16     9.53603542732140E-10     7.62006023975808E-09     2.59907069019472E-13     8.81778937527044E-05     1.52353455105386E-04     1.62727953395204E+16     6.10000000000000E+02
     7.12867849631721E-01     2.70799444985136E-01     1.07727839816922E-09     2.83586524832591E-16     9.53657066514122E-10     7.62033083969092E-09     2.59921657007834E-13     8.81767422918650E-05     1.52354606181625E-04     1.65091310203939E+16     6.20000000000000E+02
     7.12833224061585E-01     2.70808101129728E-01     1.07733770064848E-09     2.83615911636026E-16     9.53709563879462E-10     7.62061571140919E-09     2.59935965253427E-13     8.81757556085688E-05     1.52355592468236E-04     1.67454662662556E+16     6.30000000000000E+02
     7.12798598429005E-01     2.70816757325539E-01     1.07739602023890E-09     2.83645042514817E-16     9.53761191132955E-10     7.62091269635955E-09     2.59950036355258E-13     8.81749086927763E-05     1.52356438977082E-04     1.69818011985144E+16     6.40000000000000E+02
