              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     6.96457591283510E-01     7.00338640003023E-02     4.39651981141579E-06     2.82410859370327E-07     1.38471600465902E-04     6.80779156837780E-04     1.92007890058663E-09     7.21570545796387E-04     1.54497846150237E-04     1.69191983619636E+16     1.20000000000000E+02
     6.96441315195364E-01     7.00356465948151E-02     4.54217331920706E-06     2.72731639929567E-07     1.33813618993740E-04     6.88641623791483E-04     1.97939906694748E-09     7.13460729608175E-04     1.59267143248392E-04     1.70935598044507E+16     1.22000000000000E+02
     6.96425067388731E-01     7.00374834969280E-02     4.68866920848973E-06     2.63592761788289E-07     1.29418523281495E-04     6.96259502802192E-04     2.03896554780633E-09     7.05311633929003E-04     1.64056039051477E-04     1.72670755768049E+16     1.24000000000000E+02
     6.96408837777683E-01     7.00393749148937E-02     4.83592482649027E-06     2.54970422381127E-07     1.25274708586576E-04     7.03635093663472E-04     2.09874680157570E-09     6.97135211097200E-04     1.68861992657072E-04     1.74397844658337E+16     1.26000000000000E+02
     6.96392616839015E-01     7.00413210283837E-02     4.98385898337135E-06     2.46841836593972E-07     1.21371066133716E-04     7.10770873424933E-04     2.15871192566123E-09     6.88942686233980E-04     1.73682514675472E-04     1.76117239237912E+16     1.28000000000000E+02
     6.96376395586051E-01     7.00433219890694E-02     5.13239200178547E-06     2.39185190105349E-07     1.17696960350773E-04     7.17669481386852E-04     2.21883067077276E-09     6.80744593855096E-04     1.78515168384711E-04     1.77829301145536E+16     1.30000000000000E+02
     6.96360165545710E-01     7.00453779212398E-02     5.28144575274634E-06     2.31979598810280E-07     1.14242209087936E-04     7.24333706332895E-04     2.27907344982942E-09     6.72550809704312E-04     1.83357570449843E-04     1.79534379548145E+16     1.32000000000000E+02
     6.96343918735153E-01     7.00474889224099E-02     5.43094369220912E-06     2.25205067494373E-07     1.10997063458739E-04     7.30766473479193E-04     2.33941134758405E-09     6.64370583184804E-04     1.88207391706205E-04     1.81232811558889E+16     1.34000000000000E+02
     6.96327647639196E-01     7.00496550639363E-02     5.58081089469239E-06     2.18842449890112E-07     1.07952188363987E-04     7.36970831936085E-04     2.39981612918027E-09     6.56212568693348E-04     1.93062357845861E-04     1.82924922643673E+16     1.36000000000000E+02
     6.96311345189862E-01     7.00518763916507E-02     5.73097407713320E-06     2.12873412761864E-07     1.05098644984372E-04     7.42949943646922E-04     2.46026024517490E-09     6.48084853792573E-04     1.97920249825986E-04     1.84611026994570E+16     1.38000000000000E+02
     6.96295004745769E-01     7.00541529264847E-02     5.88136162328558E-06     2.07280399626096E-07     1.02427873094722E-04     7.48707072193541E-04     2.52071683699637E-09     6.39994987655782E-04     2.02778904316199E-04     1.86291427905823E+16     1.40000000000000E+02
     6.96278620072734E-01     7.00564846651044E-02     6.03190360316124E-06     2.02046596757358E-07     9.99316744978178E-05     7.54245572441484E-04     2.58115974057056E-09     6.31950007712225E-04     2.07636213988808E-04     1.87966418130953E+16     1.42000000000000E+02
     6.96262185324802E-01     7.00588715805461E-02     6.18253179042341E-06     1.97155899961532E-07     9.76021968310941E-05     7.59568880464879E-04     2.64156348926845E-09     6.23956465688639E-04     2.12490127761506E-04     1.89636280233431E+16     1.44000000000000E+02
     6.96245695027068E-01     7.00613136228586E-02     6.33317967207102E-06     1.92592884678093E-07     9.54319190016813E-05     7.64680504692909E-04     2.70190331421575E-09     6.16020451020915E-04     2.17338650824424E-04     1.91301286909487E+16     1.46000000000000E+02
     6.96229144058741E-01     7.00638107197438E-02     6.48378245711082E-06     1.88342776512824E-07     9.34136368278291E-05     7.69584017210228E-04     2.76215514434398E-09     6.08147613926310E-04     2.22179844646858E-04     1.92961701307162E+16     1.48000000000000E+02
     6.96212527636848E-01     7.00663627771943E-02     6.63427708257248E-06     1.84391422934317E-07     9.15404492496149E-05     7.74283045483739E-04     2.82229560560709E-09     6.00343187548877E-04     2.27011826916649E-04     1.94617777335358E+16     1.50000000000000E+02
     6.96195841300339E-01     7.00689696801327E-02     6.78460221791069E-06     1.80725265713013E-07     8.98057449024852E-05     7.78781264361163E-04     2.88230201961364E-09     5.92612009518272E-04     2.31832771432429E-04     1.96269759966638E+16     1.52000000000000E+02
     6.96179080895732E-01     7.00716312930470E-02     6.93469826305324E-06     1.77331316171575E-07     8.82031900623404E-05     7.83082389096326E-04     2.94215240023559E-09     5.84958541277151E-04     2.36640907832550E-04     1.97917885515958E+16     1.54000000000000E+02
     6.96162242562684E-01     7.00743474606233E-02     7.08450734715219E-06     1.74197130282115E-07     8.67267165162359E-05     7.87190168317274E-04     3.00182545039614E-09     5.77386887525332E-04     2.41434521338266E-04     1.99562381920510E+16     1.56000000000000E+02
